"","SampleID","Date","Location","Station","GearTypeAbbreviation","Legend2","year","Season","tCPUEbySpp"
"1","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","No Catch",2023,"Spring",0
"2","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","Fish UNID",2023,"Spring",110.836502059056
"3","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","Prickly Sculpin*",2023,"Spring",11859.505720319
"4","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","Sacramento Splittail*",2023,"Spring",110.836502059056
"5","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","No Catch",2023,"Spring",0
"6","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","Fish UNID",2023,"Spring",126.53180322525
"7","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","Longfin Smelt*",2023,"Spring",126.53180322525
"8","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","Prickly Sculpin*",2023,"Spring",2783.69967095551
"9","MAC11-BRAD-29MAR2023","2023-03-29","Bradmoor Island","BRAD-SS","MAC","No Catch",2023,"Spring",0
"10","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","No Catch",2023,"Spring",0
"11","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","Mississippi Silverside",2023,"Spring",249.3839527216
"12","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","Prickly Sculpin*",2023,"Spring",498.7679054432
"13","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","Striped Bass",2023,"Spring",249.3839527216
"14","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","No Catch",2023,"Spring",0
"15","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Fish Eggs",2023,"Spring",164.128635031419
"16","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Prickly Sculpin*",2023,"Spring",492.385905094258
"17","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Sacramento Splittail*",2023,"Spring",164.128635031419
"18","MAC11-DECK-08NOV2023","2023-11-08","Decker Island","DECK-CH-INT","MAC","No Catch",2023,"Fall",0
"19","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","No Catch",2023,"Spring",0
"20","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","Cyprinid spp.",2023,"Spring",960.9355054605
"21","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","Prickly Sculpin*",2023,"Spring",2882.8065163815
"22","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","Sacramento Splittail*",2023,"Spring",960.9355054605
"23","MAC11-DECK-21AUG2023","2023-08-21","Decker Island","DECK-TP","MAC","No Catch",2023,"Summer",0
"24","MAC11-FLYW-06NOV2023","2023-11-06","Flyway Farms","FLYW-UNK","MAC","No Catch",2023,"Fall",0
"25","MAC11-FLYW-06NOV2023","2023-11-06","Flyway Farms","FLYW-UNK","MAC","Egg Sacs",2023,"Fall",198.241982082406
"26","MAC11-LIBE-07NOV2023","2023-11-07","Liberty Island","LIBE_UNK","MAC","No Catch",2023,"Fall",0
"27","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","No Catch",2023,"Spring",0
"28","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Centrarchidae larvae",2023,"Spring",85.8408075327385
"29","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Mississippi Silverside",2023,"Spring",1287.61211299108
"30","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Prickly Sculpin*",2023,"Spring",515.044845196431
"31","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Sacramento Splittail*",2023,"Spring",2231.8609958512
"32","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Tridentiger spp.",2023,"Spring",85.8408075327385
"33","MAC11-LIBE-17AUG2023","2023-08-17","Liberty Island","LIBE_UNK","MAC","No Catch",2023,"Summer",0
"34","MAC11-LOWE-06NOV2023","2023-11-06","Lower Yolo Ranch","LOWE-UNK","MAC","No Catch",2023,"Fall",0
"35","MAC11-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-W","MAC","No Catch",2023,"Spring",0
"36","MAC11-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-W","MAC","Fish Eggs",2023,"Spring",184.671702675547
"37","MAC11-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-W","MAC","Fish UNID",2023,"Spring",369.343405351094
"38","MAC11-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-W","MAC","Mississippi Silverside",2023,"Spring",646.350959364414
"39","MAC11-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-W","MAC","Prickly Sculpin*",2023,"Spring",646.350959364414
"40","MAC11-LOWE-16AUG2023","2023-08-16","Lower Yolo Ranch","LOWE-CH-ENTRANCE-N","MAC","No Catch",2023,"Summer",0
"41","MAC11-MINE-27APR2023","2023-04-27","Miner Slough","MINE-S","MAC","No Catch",2023,"Spring",0
"42","MAC11-MINE-27APR2023","2023-04-27","Miner Slough","MINE-S","MAC","Fish Eggs",2023,"Spring",927.595398572187
"43","MAC11-MINE-27APR2023","2023-04-27","Miner Slough","MINE-S","MAC","Fish UNID",2023,"Spring",811.645973750664
"44","MAC11-MINE-27APR2023","2023-04-27","Miner Slough","MINE-S","MAC","Prickly Sculpin*",2023,"Spring",1275.44367303676
"45","MAC11-MINE-27APR2023","2023-04-27","Miner Slough","MINE-S","MAC","Striped Bass",2023,"Spring",1855.19079714437
"46","MAC11-MINE-27APR2023","2023-04-27","Miner Slough","MINE-S","MAC","Tridentiger spp.",2023,"Spring",115.949424821523
"47","MAC11-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","No Catch",2023,"Spring",0
"48","MAC11-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","Fish Eggs",2023,"Spring",2655.21784794608
"49","MAC11-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","Fish UNID",2023,"Spring",126.43894514029
"50","MAC11-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","Mississippi Silverside",2023,"Spring",2149.46206738492
"51","MAC11-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","Prickly Sculpin*",2023,"Spring",632.194725701448
"52","MAC11-RUSH-12APR2023","2023-04-12","Rush Ranch","RUSH-N","MAC","No Catch",2023,"Spring",0
"53","MAC11-RUSH-12APR2023","2023-04-12","Rush Ranch","RUSH-N","MAC","Mississippi Silverside",2023,"Spring",398.1916
"54","MAC11-RUSH-12APR2023","2023-04-12","Rush Ranch","RUSH-N","MAC","Prickly Sculpin*",2023,"Spring",7565.64211060998
"55","MAC11-RYER-14NOV2023","2023-11-14","Ryer Island","RYER-UNK","MAC","No Catch",2023,"Fall",0
"56","MAC11-RYER-14NOV2023","2023-11-14","Ryer Island","RYER-UNK","MAC","Northern Anchovy*",2023,"Fall",88.486009370987
"57","MAC11-RYER-18APR2023","2023-04-18","Ryer Island","RYER-S","MAC","No Catch",2023,"Spring",0
"58","MAC11-RYER-18APR2023","2023-04-18","Ryer Island","RYER-S","MAC","Prickly Sculpin*",2023,"Spring",530.173447046196
"59","MAC11-RYER-18APR2023","2023-04-18","Ryer Island","RYER-S","MAC","Wakasagi",2023,"Spring",88.3622411743659
"60","MAC11-STAI-24APR2023","2023-04-24","Stairsteps-Liberty Cut","STAI-S","MAC","No Catch",2023,"Spring",0
"61","MAC11-STAI-24APR2023","2023-04-24","Stairsteps-Liberty Cut","STAI-S","MAC","Bigscale Logperch",2023,"Spring",98.3341124219271
"62","MAC11-STAI-24APR2023","2023-04-24","Stairsteps-Liberty Cut","STAI-S","MAC","Fish Eggs",2023,"Spring",393.336449687708
"63","MAC11-STAI-24APR2023","2023-04-24","Stairsteps-Liberty Cut","STAI-S","MAC","Fish UNID",2023,"Spring",196.668224843854
"64","MAC11-STAI-24APR2023","2023-04-24","Stairsteps-Liberty Cut","STAI-S","MAC","Prickly Sculpin*",2023,"Spring",14651.7827508671
"65","MAC11-TOED-25APR2023","2023-04-25","Toe Drain","TOED-S","MAC","No Catch",2023,"Spring",0
"66","MAC11-TOED-25APR2023","2023-04-25","Toe Drain","TOED-S","MAC","Centrarchidae larvae",2023,"Spring",302.151248664686
"67","MAC11-TOED-25APR2023","2023-04-25","Toe Drain","TOED-S","MAC","Egg Sacs",2023,"Spring",201.434165776458
"68","MAC11-TOED-25APR2023","2023-04-25","Toe Drain","TOED-S","MAC","Prickly Sculpin*",2023,"Spring",503.585414441144
"69","MAC11-TULE-05SEP2023","2023-09-05","Tule Red","TULE-CH-LG-SE","MAC","No Catch",2023,"Fall",0
"70","MAC11-TULE-14NOV2023","2023-11-14","Tule Red","TULE-UNK","MAC","No Catch",2023,"Fall",0
"71","MAC11-TULE-17APR2023","2023-04-17","Tule Red","TULE-CH-SM-11","MAC","No Catch",2023,"Spring",0
"72","MAC11-TULE-17APR2023","2023-04-17","Tule Red","TULE-CH-SM-11","MAC","Prickly Sculpin*",2023,"Spring",36515.549207499
"73","MAC11-WING-13APR2023","2023-04-13","Wings Landing","WING-TP-INT","MAC","No Catch",2023,"Spring",0
"74","MAC11-WING-13APR2023","2023-04-13","Wings Landing","WING-TP-INT","MAC","Prickly Sculpin*",2023,"Spring",1425.87633716193
"75","MAC11-WINT-13NOV2023","2023-11-13","Winter Island","WINT-UNK","MAC","No Catch",2023,"Fall",0
"76","MAC11-WINT-13NOV2023","2023-11-13","Winter Island","WINT-UNK","MAC","Northern Anchovy*",2023,"Fall",335.076617522596
"77","MAC11-WINT-22AUG2023","2023-08-22","Winter Island","WINT-CH-BREACH-E","MAC","No Catch",2023,"Summer",0
"78","MAC11-WINT-22AUG2023","2023-08-22","Winter Island","WINT-CH-BREACH-E","MAC","Fish UNID",2023,"Summer",146.076256259272
"79","MAC11-WINT-22AUG2023","2023-08-22","Winter Island","WINT-CH-BREACH-E","MAC","Killifish spp.",2023,"Summer",146.076256259272
"80","MAC11-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-BREACH-E","MAC","No Catch",2023,"Spring",0
"81","MAC11-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-BREACH-E","MAC","Fish Eggs",2023,"Spring",251.702416987556
"82","MAC11-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-BREACH-E","MAC","Mississippi Silverside",2023,"Spring",251.702416987556
"83","MAC11-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-BREACH-E","MAC","Prickly Sculpin*",2023,"Spring",125.851208493778
"84","MAC11-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-BREACH-E","MAC","Striped Bass",2023,"Spring",377.553625481334
"85","MAC11-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-BREACH-E","MAC","Threadfin Shad",2023,"Spring",629.256042468889
"86","MAC11-WTIB-07NOV2023","2023-11-07","Webb Tract Islands and Berms","WTIB-UNK","MAC","No Catch",2023,"Fall",0
"87","MAC12-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-CH-SE","MAC","No Catch",2023,"Spring",0
"88","MAC12-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-CH-SE","MAC","Prickly Sculpin*",2023,"Spring",14790.4411747327
"89","MAC12-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-CH-2","MAC","No Catch",2023,"Spring",0
"90","MAC12-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-CH-2","MAC","Prickly Sculpin*",2023,"Spring",2465.24500176239
"91","MAC12-BRAD-29MAR2023","2023-03-29","Bradmoor Island","BRAD-N","MAC","No Catch",2023,"Spring",0
"92","MAC12-BRAD-29MAR2023","2023-03-29","Bradmoor Island","BRAD-N","MAC","Prickly Sculpin*",2023,"Spring",3300.85547842031
"93","MAC12-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-MAIN","MAC","No Catch",2023,"Spring",0
"94","MAC12-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-MAIN","MAC","Fish Eggs",2023,"Spring",292.212573681626
"95","MAC12-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-MAIN","MAC","Prickly Sculpin*",2023,"Spring",97.4041912272087
"96","MAC12-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-MAIN","MAC","Tridentiger spp.",2023,"Spring",194.808382454417
"97","MAC12-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","No Catch",2023,"Spring",0
"98","MAC12-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Fish Eggs",2023,"Spring",952.119240747451
"99","MAC12-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Prickly Sculpin*",2023,"Spring",714.089430560588
"100","MAC12-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Striped Bass",2023,"Spring",238.029810186863
"101","MAC12-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Yellowfin Goby",2023,"Spring",238.029810186863
"102","MAC12-DECK-08NOV2023","2023-11-08","Decker Island","DECK-CH-INT","MAC","No Catch",2023,"Fall",0
"103","MAC12-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","No Catch",2023,"Spring",0
"104","MAC12-DECK-21AUG2023","2023-08-21","Decker Island","DECK-TP","MAC","No Catch",2023,"Summer",0
"105","MAC12-DECK-21AUG2023","2023-08-21","Decker Island","DECK-TP","MAC","Fish Eggs",2023,"Summer",1018.59163578813
"106","MAC12-FLYW-06NOV2023","2023-11-06","Flyway Farms","FLYW-UNK","MAC","No Catch",2023,"Fall",0
"107","MAC12-LIBE-07NOV2023","2023-11-07","Liberty Island","LIBE_UNK","MAC","No Catch",2023,"Fall",0
"108","MAC12-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","No Catch",2023,"Spring",0
"109","MAC12-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Fish UNID",2023,"Spring",85.2883915533864
"110","MAC12-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Mississippi Silverside",2023,"Spring",1449.90265640757
"111","MAC12-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Prickly Sculpin*",2023,"Spring",767.595523980478
"112","MAC12-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Sacramento Splittail*",2023,"Spring",938.172307087251
"113","MAC12-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Threadfin Shad",2023,"Spring",170.576783106773
"114","MAC12-LIBE-17AUG2023","2023-08-17","Liberty Island","LIBE_UNK","MAC","No Catch",2023,"Summer",0
"115","MAC12-LIBE-17AUG2023","2023-08-17","Liberty Island","LIBE_UNK","MAC","Prickly Sculpin*",2023,"Summer",165.968416560802
"116","MAC12-LOWE-06NOV2023","2023-11-06","Lower Yolo Ranch","LOWE-UNK","MAC","No Catch",2023,"Fall",0
"117","MAC12-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-NE","MAC","No Catch",2023,"Spring",0
"118","MAC12-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-NE","MAC","Centrarchidae larvae",2023,"Spring",330.619451124393
"119","MAC12-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-NE","MAC","Mississippi Silverside",2023,"Spring",413.274313905491
"120","MAC12-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-NE","MAC","Prickly Sculpin*",2023,"Spring",165.309725562196
"121","MAC12-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-NE","MAC","Sacramento Splittail*",2023,"Spring",165.309725562196
"122","MAC12-LOWE-16AUG2023","2023-08-16","Lower Yolo Ranch","LOWE-CH-NE","MAC","No Catch",2023,"Summer",0
"123","MAC12-MINE-27APR2023","2023-04-27","Miner Slough","MINE-SPUR-S","MAC","No Catch",2023,"Spring",0
"124","MAC12-MINE-27APR2023","2023-04-27","Miner Slough","MINE-SPUR-S","MAC","Bigscale Logperch",2023,"Spring",118.597831583717
"125","MAC12-MINE-27APR2023","2023-04-27","Miner Slough","MINE-SPUR-S","MAC","Striped Bass",2023,"Spring",1304.57614742089
"126","MAC12-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","No Catch",2023,"Spring",0
"127","MAC12-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","Eggs UNID",2023,"Spring",1803.2286857353
"128","MAC12-PROS-10MAY2023","2023-05-10","Prospect Island","PROS-S","MAC","Fish UNID",2023,"Spring",10132.4278531793
"129","MAC12-RUSH-12APR2023","2023-04-12","Rush Ranch","RUSH-S","MAC","No Catch",2023,"Spring",0
"130","MAC12-RUSH-12APR2023","2023-04-12","Rush Ranch","RUSH-S","MAC","Mississippi Silverside",2023,"Spring",100.338487330993
"131","MAC12-RUSH-12APR2023","2023-04-12","Rush Ranch","RUSH-S","MAC","Prickly Sculpin*",2023,"Spring",7324.70957516251
"132","MAC12-RYER-14NOV2023","2023-11-14","Ryer Island","RYER-UNK","MAC","No Catch",2023,"Fall",0
"133","MAC12-RYER-18APR2023","2023-04-18","Ryer Island","RYER-CH-LG-M","MAC","No Catch",2023,"Spring",0
"134","MAC12-RYER-18APR2023","2023-04-18","Ryer Island","RYER-CH-LG-M","MAC","Longfin Smelt*",2023,"Spring",177.635518671647
"135","MAC12-RYER-18APR2023","2023-04-18","Ryer Island","RYER-CH-LG-M","MAC","Prickly Sculpin*",2023,"Spring",532.906556014941
"136","MAC12-STAI-24APR2023","2023-04-24","Stairsteps-Liberty Cut","STAI-M","MAC","No Catch",2023,"Spring",0
"137","MAC12-STAI-24APR2023","2023-04-24","Stairsteps-Liberty Cut","STAI-M","MAC","Prickly Sculpin*",2023,"Spring",1794.06475140492
"138","MAC12-TOED-25APR2023","2023-04-25","Toe Drain","TOED-S","MAC","No Catch",2023,"Spring",0
"139","MAC12-TOED-25APR2023","2023-04-25","Toe Drain","TOED-S","MAC","Mississippi Silverside",2023,"Spring",199.978194439992
"140","MAC12-TOED-25APR2023","2023-04-25","Toe Drain","TOED-S","MAC","Prickly Sculpin*",2023,"Spring",299.967291659987
"141","MAC12-TULE-05SEP2023","2023-09-05","Tule Red","TULE-CH-LG-M","MAC","No Catch",2023,"Fall",0
"142","MAC12-TULE-14NOV2023","2023-11-14","Tule Red","TULE-UNK","MAC","No Catch",2023,"Fall",0
"143","MAC12-TULE-17APR2023","2023-04-17","Tule Red","TULE-TP-1","MAC","No Catch",2023,"Spring",0
"144","MAC12-TULE-17APR2023","2023-04-17","Tule Red","TULE-TP-1","MAC","Prickly Sculpin*",2023,"Spring",3703.96958468411
"145","MAC12-WING-13APR2023","2023-04-13","Wings Landing","WING-BROOD","MAC","No Catch",2023,"Spring",0
"146","MAC12-WING-13APR2023","2023-04-13","Wings Landing","WING-BROOD","MAC","Prickly Sculpin*",2023,"Spring",1574.57127320204
"147","MAC12-WINT-13NOV2023","2023-11-13","Winter Island","WINT-UNK","MAC","No Catch",2023,"Fall",0
"148","MAC12-WINT-22AUG2023","2023-08-22","Winter Island","WINT-CH-INT","MAC","No Catch",2023,"Summer",0
"149","MAC12-WINT-22AUG2023","2023-08-22","Winter Island","WINT-CH-INT","MAC","Egg Sacs",2023,"Summer",122.984643005049
"150","MAC12-WINT-22AUG2023","2023-08-22","Winter Island","WINT-CH-INT","MAC","Fish UNID",2023,"Summer",122.984643005049
"151","MAC12-WINT-22AUG2023","2023-08-22","Winter Island","WINT-CH-INT","MAC","Tridentiger spp.",2023,"Summer",1106.86178704544
"152","MAC12-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-INT","MAC","No Catch",2023,"Spring",0
"153","MAC12-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-INT","MAC","Fish UNID",2023,"Spring",316.498555228424
"154","MAC12-WINT-30MAY2023","2023-05-30","Winter Island","WINT-CH-INT","MAC","Mississippi Silverside",2023,"Spring",2953.98651546529
