"","VisitNo","SampleID_key","SampleID","StartTime","EndTime","Duration","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthOfWater","NetMeterStart","NetMeterEnd","TowDirection","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","effort","Location","Date","Comments"
"1",6642,11463,"BEASEI01-ARNO-28APR2022","12:17","",NA,38.175232,NA,121.907262,NA,0.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",5,13,NA,"BEASEI",22.75,"Arnold Slough","2022-04-28"," gps 6 accuracy 3m; yelgob @ 20mm"
"2",6655,11477,"BEASEI01-HORS-05MAY2022","10:00","",NA,38.081486,NA,121.719216,NA,0.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",13,15,NA,"BEASEI",78,"Horseshoe Bend","2022-05-05"," gps 6 accuracy 3m; veg in net elodia; egeden; filalg; 3 sculpin in sample were too hard to measure "
"3",7126,12124,"BEASEI01-HORS-15DEC2022","09:20","",NA,38.098557,NA,121.70943,NA,0.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",7.5,10,NA,"BEASEI",33.75,"Horseshoe Bend","2022-12-15"," gearid bs02; dominant vegetation in sample: egeden"
"4",6060,10317,"BEASEI01-HORS-18APR2022","07:30","",NA,38.098705,NA,121.709367,NA,0.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",6,15,NA,"BEASEI",40.5,"Horseshoe Bend","2022-04-18"," no veg in net"
"5",7214,12216,"BEASEI01-HORS-30NOV2022","09:23","",NA,38.097474,NA,121.709693,NA,1,NA,NA," ","1. No twists; snags; or tears","Crew Members",10.75,8,NA,"BEASEI",43,"Horseshoe Bend","2022-11-30"," gps 5; accuracy 2m. not paired"
"6",6036,10294,"BEASEI01-LIBE-05APR2022","14:30","",NA,38.241773,NA,121.682542,NA,1,NA,NA," 3= unknown","1. No twists; snags; or tears","Crew Members",3,15,NA,"BEASEI",22.5,"Liberty Island","2022-04-05"," raikill @ 41 and 22 both have a dark stripe down the side. prickly sculpin is less then 20cm.  % cod end filled: 1-33% "
"7",7212,12214,"BEASEI01-TULE-29NOV2022","09:10","",NA,38.118129,NA,121.97742,NA,0.4,NA,NA," ","1. No twists; snags; or tears","Crew Members",15,13,NA,"BEASEI",39,"Tule Red","2022-11-29"," gps 5; accuracy 2m. not paired. possible missil too small to id; lots of mud in net; water quality taken from bucket; unid silversides all <25mm"
"8",6656,11478,"BEASEI02-HORS-05MAY2022","10:35","",NA,38.097379,NA,121.709717,NA,0.8,NA,NA," ","1. No twists; snags; or tears","Crew Members",15,13.5,NA,"BEASEI",81,"Horseshoe Bend","2022-05-05"," gps 6 accuracy 3m; dominant veg in net egeden 1-33%"
"9",7128,12126,"BEASEI02-HORS-15DEC2022","09:57","",NA,38.081473,NA,121.719647,NA,0.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",8.5,10,NA,"BEASEI",34,"Horseshoe Bend","2022-12-15"," gps 5 accuracy 2m; not paired; dominant vegetation in net: hyacinth."
"10",6063,10320,"BEASEI02-HORS-18APR2022","09:12","",NA,38.081551,NA,121.719437,NA,0.6,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",7,12,NA,"BEASEI",25.2,"Horseshoe Bend","2022-04-18"," no veg in net; code 2: one wing was twisted "
"11",6034,10291,"BEASEI02-LIBE-05APR2022","15:58","",NA,38.243349,NA,121.684881,NA,0.4,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",6,9,NA,"BEASEI",10.8,"Liberty Island","2022-04-05"," seine got snagged; broke it loose; partial twisting. environmentals from boat near site; turbidity was higher where sampled."
"12",7219,12221,"BEASEI02-LIBE-30NOV2022","12:10","",NA,38.2421,NA,121.682223,NA,0.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",9.75,15,NA,"BEASEI",65.8125,"Liberty Island","2022-11-30"," gps 5; accuracy 2m. not paired. dominant vegetation in net: cerdem; potcri; egeden"
"13",7213,12215,"BEASEI02-TULE-29NOV2022","10:08","",NA,38.115697,NA,121.978044,NA,0.5,NA,NA," ","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Tule Red","2022-11-29"," gps 5; accuracy 2m. not paired. water quality taken from bucket. thrsti=cdfw 22frp001 and 002. unid silversides all <25mm"
"14",7220,12222,"BEASEI03-HORS-30NOV2022","13:18","",NA,38.099417,NA,121.709205,NA,0.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",14,15,NA,"BEASEI",94.5,"Horseshoe Bend","2022-11-30"," gps 5; accuracy 2m. not paired; dominant vegetation in net: egeden; potcri; cerdem"
"15",7159,12160,"BIGLAM01-LIBE-14NOV2022","08:50","",NA,38.290251,NA,121.685448,NA,0.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"BIGLAM",222.34407182342,"Liberty Island","2022-11-14"," gps 5; accuracy 2m. code 2. not paired. dominant vegetation in net: coontail; sago; elodia. a lot of veg on wings; but not overflowing cod end. slow deploy and retrieve due to veg."
"16",7164,12165,"BIGLAM01-STAI-15NOV2022","08:26","",NA,38.33511,NA,121.667489,NA,2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",494.097937385377,"Stairsteps-Liberty Cut","2022-11-15"," gps 5; accuracy 3m. not paired. dominant vegetation in net: curly"
"17",6677,11520,"BIGLAM01-TULE-19MAY2022","06:54","",NA,38.133996,NA,121.9933,NA,2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",494.097937385377,"Tule Red","2022-05-19"," gps 6 accuracy 3m; paired y ;lam00. one set of kayak samples were performed in small channel next to this sample. no other paired samples for this day - ed 22jun2023"
"18",7160,12161,"BIGLAM02-LIBE-14NOV2022","10:45","",NA,38.272513,NA,121.67092,NA,1.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"BIGLAM",469.393040516108,"Liberty Island","2022-11-14"," gps 5; accuracy 4m. not paired. dominant vegetation in net: curly pond; millfoil; coontail. retrieval a little funky. heavy veg loads affected pulling of net with boat. curly pondweed; eurasian milfoil; and coontail. shrimp unid = rostrum broken. 2 killifish accidentally released before measuring."
"19",6678,11521,"BIGLAM02-TULE-19MAY2022","07:26","",NA,38.125678,NA,121.9855,NA,2.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",568.212627993184,"Tule Red","2022-05-19"," tule-07-2022; skipped #6 since it was too close to #5; <100 mysids; gps 6 accuracy 3m; gearid lam00"
"20",7161,12162,"BIGLAM03-LIBE-14NOV2022","12:00","",NA,38.303124,NA,121.67589,NA,2.4,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"BIGLAM",592.917524862452,"Liberty Island","2022-11-14"," gps 5; accuracy 5m. not paired. chunk of road caught in net (cement); pulled in funky again due to veg"
"21",6679,11522,"BIGLAM03-TULE-19MAY2022","07:47","",NA,38.121527,NA,121.982804,NA,2.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",518.802834254646,"Tule Red","2022-05-19"," gps 6 accuracy 3m; both paleomon dead; gearid lam00; lonsme (33mm) could've been from sample prior; mysids in net ~50; +1 topsme is 21mm; other topsme lost on deck"
"22",6680,11523,"BIGLAM04-GRIZ-19MAY2022","08:24","",NA,38.13694,NA,122.007892,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",321.163659300495,"Grizzly Bay","2022-05-19"," gps 6 accuracy 3m; lead line got detached; griz-07-2022; gearid lam00; paired n; ~30 mysids; topsme - 21; 20 (dmc230517: made new entries for these topsme)"
"23",6404,10944,"BIGLAM04-GRIZ-25APR2022","09:31","",NA,38.12521,NA,121.99317,NA,1.3,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"BIGLAM",321.163659300495,"Grizzly Bay","2022-04-25"," "
"24",6681,11524,"BIGLAM05-GRIZ-19MAY2022","08:54","",NA,38.133267,NA,122.004013,NA,1.3,NA,NA," 3= unknown","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",321.163659300495,"Grizzly Bay","2022-05-19"," gps 6 accuracy 3m; gearid lam00; paired n"
"25",6405,10945,"BIGLAM05-GRIZ-25APR2022","10:08","",NA,38.13082,NA,122.00361,NA,3.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",815.261596685872,"Grizzly Bay","2022-04-25"," "
"26",6682,11525,"BIGLAM06-GRIZ-19MAY2022","09:17","",NA,38.122519,NA,121.997114,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",370.573453039033,"Grizzly Bay","2022-05-19"," gps 5 accuracy 5m; fixed leadline with ziptie before sampling; griz-05-2022; lonsme @73 not expressing; nearly dead; topsme 21; 5 mysid; gearid lam00; paired n"
"27",6406,10946,"BIGLAM06-GRIZ-25APR2022","10:29","",NA,38.13546,NA,122.00741,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",370.573453039033,"Grizzly Bay","2022-04-25"," "
"28",6683,11526,"BIGLAM07-RYER-19MAY2022","10:13","",NA,38.080365,NA,122.01623,NA,2.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",592.917524862452,"Ryer Island","2022-05-19"," larval sacsuc under 25mm; dropped in water before id; gear id lam00; paired n; ryer-04-2022 too shallow so lampara done nearby; 1 unid bivalve"
"29",6684,11527,"BIGLAM08-RYER-19MAY2022","10:39","",NA,38.086152,NA,122.0176,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",370.573453039033,"Ryer Island","2022-05-19"," gps 6 accuracy 3m; sheetalg in sample; gearid lam00; paired n; spltai in plus count was >300mm"
"30",6408,10948,"BIGLAM08-RYER-25APR2022","11:38","",NA,38.08613,NA,122.01984,NA,2.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",716.442009208797,"Ryer Island","2022-04-25"," topsme/unid silverside <25mm caught in net (22mm)"
"31",6685,11528,"BIGLAM09-RYER-19MAY2022","11:13","",NA,38.077941,NA,122.013488,NA,2.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",667.032215470259,"Ryer Island","2022-05-19"," gps 6 accuracy 5m; gearid lam00; paired n; random point (all randomly generated points were in shallow areas so a random spot was chosen)"
"32",6409,10949,"BIGLAM09-RYER-25APR2022","12:02","",NA,38.08611,NA,122.02237,NA,2.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"BIGLAM",568.212627993184,"Ryer Island","2022-04-25"," "
"33",7101,12101,"LAMOPE01-BROA-05DEC2022","08:56","",NA,38.035172,NA,121.841979,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Broad Slough","2022-12-05"," "
"34",6046,10303,"LAMOPE01-BROA-12APR2022","08:53","",NA,38.03297,NA,121.840066,NA,1.3,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Broad Slough","2022-04-12"," no veg in net"
"35",7171,12172,"LAMOPE01-BROA-17NOV2022","07:17","",NA,38.05314,NA,121.849375,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Broad Slough","2022-11-17"," approx. 1/4 of cod end filled with detritus"
"36",6037,10293,"LAMOPE01-BROW-11APR2022","07:57","",NA,38.043021,NA,121.873114,NA,3,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",288.23269931296,"Browns Island","2022-04-11"," % cod end filled: 1-33"
"37",6430,10978,"LAMOPE01-DECK-05MAY2022","08:17","",NA,38.084242,NA,121.72386,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Decker Island","2022-05-05"," gps #6 accuracy 3m; veg in cod end code 1 filalg and potcri"
"38",7130,12128,"LAMOPE01-DECK-15DEC2022","10:33","",NA,38.084028,NA,121.724121,NA,1.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Decker Island","2022-12-15"," gps 5 accuracy 2m; paired n; code 2 - difficult deployment. dominant vegetation in net: egeden; hyacinth"
"39",7162,12163,"LAMOPE01-FLYW-14NOV2022","13:16","",NA,38.361836,NA,121.642833,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members and Boat",NA,NA,NA,"LAMOPE",118.217730722742,"Flyway Farms","2022-11-14"," gps 5; accuracy 2m. not paired. no net # listed"
"40",7190,12190,"LAMOPE01-GRIZ-21NOV2022","09:06","",NA,38.136635,NA,122.01164,NA,1.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.300077206198,"Grizzly Bay","2022-11-21"," gps 5; accuracy 3m. not paired. "
"41",7111,12110,"LAMOPE01-HONK-07DEC2022","08:50","",NA,38.061181,NA,121.925821,NA,2.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",257.551731085734,"Honker-Spoonbill","2022-12-07"," gps 5 accuracy 5m; paired n"
"42",6665,11505,"LAMOPE01-HONK-09MAY2022","08:22","",NA,38.055375,NA,121.896046,NA,3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",288.23269931296,"Honker-Spoonbill","2022-05-09"," gps#6; accuracy=3"
"43",6051,10309,"LAMOPE01-HONK-13APR2022","09:38","",NA,38.056494,NA,121.897223,NA,3.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",332.7,"Honker-Spoonbill","2022-04-13"," no veg in net"
"44",6061,10318,"LAMOPE01-HORS-18APR2022","08:16","",NA,38.084353,NA,121.714165,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Horseshoe Bend","2022-04-18"," veg in net: egeden; cerdem; % cod end filled: 67-100"
"45",7215,12217,"LAMOPE01-HORS-30NOV2022","09:53","",NA,38.084095,NA,121.710466,NA,3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",288.23269931296,"Horseshoe Bend","2022-11-30"," gps5; accuracy 2m. not paired. dominant vegetation in net: hyacinth; egeden; stupec"
"46",6028,10285,"LAMOPE01-LIBE-04APR2022","08:10","",NA,38.275576,NA,121.674301,NA,2,NA,NA," 3= unknown","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",206.41862200576,"Liberty Island","2022-04-04"," dominant veg in sample: filalg; egeden; cerdem % cod end filled: 1-33% paired? y"
"47",7142,12143,"LAMOPE01-LIBE-28DEC2022","08:28","",NA,38.269828,NA,121.690814,NA,2.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",232.751925056618,"Liberty Island","2022-12-28"," gps #5; accuracy 2m; not paired; gearid lam03; dominant veg in net cerdem elodea"
"48",6645,11466,"LAMOPE01-LOWE-04MAY2022","07:25","",NA,38.348232,NA,121.662942,NA,2.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",257.551731085734,"Lower Yolo Ranch","2022-05-04"," gps 6 accuracy 3m"
"49",6032,10289,"LAMOPE01-LOWE-06APR2022","08:16","",NA,38.353481,NA,121.653405,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members and Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Lower Yolo Ranch","2022-04-06"," dominant veg in net: stupec; egeden; potcri; elodia; % cod end 1-33; 4 priscu < 25mm; raikil @ 19mm"
"50",7118,12117,"LAMOPE01-LOWE-14DEC2022","09:13","",NA,38.345674,NA,121.668772,NA,1.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",178.551821933162,"Lower Yolo Ranch","2022-12-14"," gps 5 accuracy 2m; paired n; code 2 - deployed funky; dominant vegetation in sample: filalg; potcri"
"51",6706,11545,"LAMOPE01-NURS-25MAY2022","08:01","",NA,38.181896,NA,121.922737,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Nurse-Denverton","2022-05-25"," gps 6 accuracy 3m; dominant veg in net stupec; filalg; sheetalg; cod end filled 34-66%;  paired n; nurs-04-2022"
"52",6601,11401,"LAMOPE01-NURS-28APR2022","10:21","",NA,38.175632,NA,121.923196,NA,2.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",280.81804009311,"Nurse-Denverton","2022-04-28"," gps #6 accuracy 7m; dominant veg in net: stupec; 1-33%"
"53",7147,12148,"LAMOPE01-PEYT-21DEC2022","08:54","",NA,38.220425,NA,122.044142,NA,1.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",178.551821933162,"Peytonia-Suisun","2022-12-21"," gps 5; accuracy 3m; not paired"
"54",7203,12203,"LAMOPE01-PEYT-22NOV2022","09:13","",NA,38.208819,NA,122.033618,NA,1.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.300077206198,"Peytonia-Suisun","2022-11-22"," gps 5; accuracy 2m. not paired. "
"55",7105,12116,"LAMOPE01-RYER-29DEC2022","07:58","",NA,38.087392,NA,122.015924,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Ryer Island","2022-12-29"," gps#5; accuracy 3m; gearid lam03; not paired; no fish; depth taken from secchi (do not adjust)"
"56",7166,12167,"LAMOPE01-STAI-15NOV2022","09:15","",NA,38.330568,NA,121.676058,NA,2.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",215.36677824735,"Stairsteps-Liberty Cut","2022-11-15"," gps5; accuracy 5m. not paired. dominant vegetation in net: elodia."
"57",6401,10941,"LAMOPE01-TULE-25APR2022","08:05","",NA,38.13366,NA,121.99234,NA,1.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",168.922111459686,"Tule Red","2022-04-25"," "
"58",6671,11514,"LAMOPE01-WINT-18MAY2022","07:49","",NA,38.03478,NA,121.84327,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Winter Island","2022-05-18"," paired? n"
"59",6030,10288,"LAMOPE01-YOLO-05APR2022","08:30","",NA,38.360776,NA,121.645236,NA,1.5,NA,NA," 3= unknown","2. Partial twist; snag; or tear","Crew Members and Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Flyway Farms","2022-04-05"," yolo_01_2022.  deployed a little funky; small twist in one wing towards end. dropped one crew member  on land; deployed net; then they walked back to the boat. % cod end filled: 1-33% "
"60",7102,12102,"LAMOPE02-BROA-05DEC2022","09:37","",NA,38.048499,NA,121.847578,NA,3.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough","2022-12-05"," code 2 - depth slightly too deep; gps 5 accuracy 2m; paired n"
"61",6047,10304,"LAMOPE02-BROA-12APR2022","09:27","",NA,38.039589,NA,121.844916,NA,2.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",280.81804009311,"Broad Slough","2022-04-12"," no veg in net"
