"","SampleID_key","CommonName","TotalCatch","FishLength","FishCatchNotes"
"559",13877,"Shrimp Other",1,NA,""
"560",13470,"Siberian Prawn",1,NA,""
"561",13470,"Threespine Stickleback",1,45,""
"562",12457,"Mississippi Silverside",3,89,""
"563",12457,"Pacific Staghorn Sculpin",1,21,""
"564",12457,"Threespine Stickleback",1,43,""
"565",12273,"Siberian Prawn",1,NA,""
"566",12273,"Mississippi Silverside",4,40,""
"567",12273,"Threadfin Shad",1,88,""
"568",14005,"No Catch",0,NA,""
"569",12316,"No Catch",0,NA,""
"570",13929,"Mississippi Silverside",88,54,""
"571",12247,"No Catch",0,NA,""
"572",12322,"Killifish spp.",2,30,""
"573",12322,"Crayfish",1,NA,""
"574",12322,"Mississippi Silverside",1,33,""
"575",12322,"Grass Shrimp",2,NA,""
"576",12322,"Bluegill",5,33,""
"577",12322,"Largemouth Bass",1,281,""
"578",12322,"Redear Sunfish",1,214,""
"579",13966,"No Catch",0,NA,""
"580",13994,"Siberian Prawn",1,NA,""
"581",13994,"Mississippi Silverside",38,69,""
"582",13906,"Siberian Prawn",1,NA,""
"583",13906,"Splittail",1,94,""
"584",13906,"Threadfin Shad",1,43,""
"585",12259,"Chinook Salmon (fall)",1,37,""
"586",12259,"Mississippi Silverside",1,61,""
"587",12259,"Hitch",1,290,""
"588",12259,"Threadfin Shad",1,60,""
"589",12259,"Threespine Stickleback",1,44,""
"590",12394,"No Catch",0,NA,""
"591",13795,"Mississippi Silverside",41,54,""
"592",13795,"Oriental Shrimp",2,NA,""
"593",13795,"Bay Shrimp",1,NA,""
"594",13795,"Shimofuri Goby",1,44,""
"595",12381,"No Catch",0,NA,""
"596",13975,"Killifish spp.",1,35,""
"597",13975,"Siberian Prawn",1,NA,""
"598",13975,"Mississippi Silverside",227,70,""
"599",13975,"Grass Shrimp",5,NA,""
"600",13975,"Golden Shiner",2,49,""
"601",13975,"Threadfin Shad",27,51,""
"602",12286,"Killifish spp.",11,30,""
"603",12286,"Mosquitofish",3,24,""
"604",12286,"Crayfish",3,NA,""
"605",12286,"Grass Shrimp",3,NA,""
"606",12286,"Splittail",1,321,""
"607",13371,"Siberian Prawn",1,NA,""
"608",13371,"Crayfish",30,NA,""
"609",13371,"Mississippi Silverside",34,63,""
"610",13371,"Grass Shrimp",6,NA,""
"611",13371,"Bluegill",1,43,""
"612",13407,"Siberian Prawn",1,NA,""
"613",13985,"No Catch",0,NA,""
"614",12526,"Striped Bass",1,203,""
"615",13416,"No Catch",0,NA,""
"616",13849,"No Catch",0,NA,""
"617",13924,"Killifish spp.",10,18,""
"618",13924,"Mosquitofish",2,20,""
"619",13924,"Crayfish",6,NA,""
"620",13924,"Mississippi Silverside",1,44,""
"621",12489,"Chinook Salmon (fall)",1,51,""
"622",12489,"Mississippi Silverside",1,87,""
"623",12489,"Threespine Stickleback",1,23,""
"624",12458,"Siberian Prawn",1,NA,""
"625",12274,"Siberian Prawn",6,NA,""
"626",12274,"Threadfin Shad",1,91,""
"627",12274,"Threespine Stickleback",1,32,""
"628",14006,"Bay Shrimp",1,NA,""
"629",14006,"Splittail",1,131,""
"630",12446,"No Catch",0,NA,""
"631",12302,"Killifish spp.",1,33,""
"632",12302,"Potamocorbula",185,NA,""
"633",12302,"Macoma",1,NA,""
"634",12302,"Corbicula",145,NA,""
"635",12366,"No Catch",0,NA,""
"636",13819,"Mississippi Silverside",48,70,""
"637",13819,"Grass Shrimp",5,NA,""
"638",13819,"Hitch",2,210,""
"639",13819,"Largemouth Bass",2,67,""
"640",13819,"Redear Sunfish",2,69,""
"641",13437,"Potamocorbula",38,NA,""
"642",13437,"Prickly Sculpin",14,31,""
"643",13437,"Pisidium",7,NA,""
"644",13437,"Corbicula",322,NA,""
"645",13437,"Bigscale Logperch",1,39,""
"646",13437,"Wakasagi",1,37,""
"647",12847,"Mississippi Silverside",2,45,""
"648",12847,"Grass Shrimp",2,NA,""
"649",12847,"Pacific Staghorn Sculpin",1,44,""
"650",12847,"Sacramento Pikeminnow",1,62,""
"651",13878,"No Catch",0,NA,""
"652",13471,"Siberian Prawn",1,NA,""
"653",13471,"Pacific Staghorn Sculpin",1,67,""
"654",13471,"Splittail",1,310,""
"655",12317,"No Catch",0,NA,""
"656",13930,"No Catch",0,NA,""
"657",12251,"Mississippi Silverside",1,76,""
"658",12251,"Striped Bass",1,137,""
"659",12251,"Threadfin Shad",2,75,""
"660",12323,"Bluegill",2,93,""
"661",12323,"Shimofuri Goby",1,63,""
"662",13967,"No Catch",0,NA,""
"663",13472,"No Catch",0,NA,""
"664",12459,"Mississippi Silverside",3,87,""
"665",13908,"Mississippi Silverside",15,82,""
"666",13995,"Bay Shrimp",1,NA,""
"667",12324,"Siberian Prawn",1,NA,""
"668",12324,"Shrimp Other",5,NA,""
"669",12324,"Mississippi Silverside",12,68,""
"670",12324,"Grass Shrimp",2,NA,""
"671",12324,"Striped Bass",1,595,""
"672",12324,"Corbicula",1,NA,""
"673",12324,"Bluegill",1,41,""
"674",13931,"No Catch",0,NA,""
"675",12260,"Silverside UNID",1,22,""
"676",12260,"Splittail",1,281,""
"677",12395,"Striped Bass",1,373,""
"678",12395,"Pacific Staghorn Sculpin",1,53,""
"679",12395,"Tule Perch",1,152,""
"680",13417,"No Catch",0,NA,""
"681",13974,"Mosquitofish",1,19,""
"682",13974,"Mississippi Silverside",620,77,""
"683",13974,"Grass Shrimp",4,NA,""
"684",13974,"American Shad",1,71,""
"685",13974,"Black Crappie",2,65,""
"686",13974,"Bluegill",3,31,""
"687",13974,"Golden Shiner",22,72,""
"688",13974,"Hitch",2,75,""
"689",13974,"Largemouth Bass",1,88,""
"690",13974,"Threadfin Shad",6,54,""
"691",13974,"Wakasagi",3,73,""
"692",13820,"Mississippi Silverside",138,48,""
"693",13820,"Grass Shrimp",1,NA,""
"694",13820,"Black Crappie",2,68,""
"695",13820,"Hitch",2,63,""
"696",12287,"No Catch",0,NA,""
"697",12303,"Potamocorbula",9,NA,""
"698",12303,"Threadfin Shad",1,115,""
"699",12527,"No Catch",0,NA,""
"700",13797,"No Catch",0,NA,""
"701",12382,"No Catch",0,NA,""
"702",13372,"No Catch",0,NA,""
"703",12490,"No Catch",0,NA,""
"704",12275,"Siberian Prawn",4,NA,""
"705",12275,"Mississippi Silverside",2,49,""
"706",12275,"Corbicula",1,NA,""
"707",12275,"Splittail",1,156,""
"708",12275,"Threadfin Shad",4,62,""
"709",14007,"Threadfin Shad",3,67,""
"710",13408,"No Catch",0,NA,""
"711",12849,"Chinook Salmon (fall)",1,52,"FRP23-525; whole fish preserved on ice"
"712",13986,"Mississippi Silverside",25,69,""
"713",13986,"Striped Bass",1,443,""
"714",13986,"Corbicula",1,NA,""
"715",12367,"Bay Shrimp",1,NA,""
"716",12447,"No Catch",0,NA,""
"717",13879,"No Catch",0,NA,""
"718",12252,"Mississippi Silverside",6,67,""
"719",12252,"Bluegill",4,39,""
"720",12252,"Threadfin Shad",2,98,""
"721",13968,"No Catch",0,NA,""
"722",13851,"No Catch",0,NA,""
"723",13473,"Mississippi Silverside",1,86,""
"724",12491,"Killifish spp.",2,28,""
"725",12460,"Siberian Prawn",1,NA,""
"726",12460,"Mississippi Silverside",1,78,""
"727",13909,"Mississippi Silverside",123,75,""
"728",13996,"Mississippi Silverside",5,67,""
"729",12325,"Mississippi Silverside",2,52,""
"730",13932,"Threadfin Shad",18,66,""
"731",12528,"Grass Shrimp",1,NA,""
"732",12261,"Mississippi Silverside",1,72,""
"733",13801,"No Catch",0,NA,""
"734",13418,"No Catch",0,NA,""
"735",12304,"Striped Bass",1,331,""
"736",12401,"No Catch",0,NA,""
"737",13373,"No Catch",0,NA,""
"738",12276,"Redear Sunfish",1,32,""
"739",14008,"Mississippi Silverside",1,53,""
"740",13409,"No Catch",0,NA,""
"741",12850,"Chinook Salmon (fall)",1,69,"FRP23-526; whole fish preserved on ice"
"742",13987,"Mississippi Silverside",5,70,""
"743",13987,"Striped Bass",1,93,""
"744",13987,"Bay Shrimp",4,NA,""
"745",13987,"Corbicula",2,NA,""
"746",13987,"Splittail",1,87,""
"747",13880,"Mississippi Silverside",1,62,""
"748",12288,"Mosquitofish",2,27,""
"749",12288,"Grass Shrimp",1,NA,""
"750",12451,"Bay Shrimp",4,NA,""
"751",12368,"Bay Shrimp",1,NA,""
"752",12368,"Pacific Staghorn Sculpin",2,33,""
"753",12368,"Threespine Stickleback",2,37,""
"754",13852,"No Catch",0,NA,""
"755",13474,"No Catch",0,NA,""
"756",12492,"No Catch",0,NA,""
"757",12461,"Mississippi Silverside",16,42,""
"758",13911,"Mississippi Silverside",10,74,""
"759",13997,"No Catch",0,NA,""
"760",12326,"No Catch",0,NA,""
"761",13933,"No Catch",0,NA,""
"762",12529,"Chinook Salmon (fall)",1,44,""
"763",13802,"No Catch",0,NA,""
"764",13419,"No Catch",0,NA,""
"765",12305,"Chinook Salmon (fall)",1,35,""
"766",12305,"Grass Shrimp",1,NA,""
"767",12305,"Striped Bass",1,123,""
"768",12305,"Oriental Shrimp",1,NA,""
"769",12305,"Bay Shrimp",3,NA,""
"770",12305,"Threespine Stickleback",1,23,""
"771",12262,"Mississippi Silverside",4,67,""
"772",12262,"Threadfin Shad",1,71,""
"773",12262,"Yellowfin Goby",1,116,""
"774",12402,"Threespine Stickleback",1,31,""
"775",12277,"Mississippi Silverside",5,69,""
"776",13410,"Threespine Stickleback",1,48,""
"777",13988,"Mississippi Silverside",1,57,""
"778",13988,"Bay Shrimp",3,NA,""
"779",13881,"No Catch",0,NA,""
"780",12289,"Chinook Salmon (fall)",1,36,""
"781",12289,"Mississippi Silverside",1,42,""
"782",12452,"Chinook Salmon (fall)",1,45,""
"783",12452,"Pacific Herring",1,27,""
"784",12369,"Siberian Prawn",2,NA,""
"785",14009,"No Catch",0,NA,""
"786",13853,"Crayfish",14,NA,""
"787",13853,"Grass Shrimp",16,NA,""
"788",13853,"Goby unid",1,28,""
"789",13853,"Bluegill",27,35,""
"790",13853,"Largemouth Bass",5,64,""
"791",13853,"Redear Sunfish",2,109,""
"792",12493,"Killifish spp.",1,29,""
"793",12493,"Siberian Prawn",8,NA,""
"794",12493,"Threespine Stickleback",1,47,""
"795",12278,"Siberian Prawn",1,NA,""
"796",12278,"Mississippi Silverside",1,58,""
"797",12278,"Splittail",1,272,""
"798",12278,"Steelhead",1,218,"AD CLIPPED"
"799",12278,"Threadfin Shad",4,33,""
"800",12278,"Threespine Stickleback",1,48,""
"801",13998,"Splittail",3,104,""
"802",13912,"Mississippi Silverside",65,56,""
"803",13803,"Mississippi Silverside",1,76,""
"804",13420,"Mississippi Silverside",6,70,""
"805",12530,"Siberian Prawn",1,NA,""
"806",12530,"Chinook Salmon (fall)",1,50,""
"807",12530,"Mississippi Silverside",7,41,""
"808",12530,"Grass Shrimp",1,NA,""
"809",12530,"Corbicula",2,NA,""
"810",12530,"Golden Shiner",1,150,""
"811",12530,"Pacific Staghorn Sculpin",4,28,""
"812",12327,"No Catch",0,NA,""
"813",12403,"Siberian Prawn",2,NA,""
"814",13934,"No Catch",0,NA,""
"815",12263,"Killifish spp.",1,30,""
"816",12263,"Siberian Prawn",25,NA,""
"817",12263,"Potamocorbula",3,NA,""
"818",12263,"Mississippi Silverside",4,55,""
"819",12263,"Oriental Shrimp",6,NA,""
"820",12263,"Bluegill",1,30,""
"821",12263,"Sacramento Pikeminnow",1,53,""
"822",12263,"Shimofuri Goby",2,64,""
"823",12263,"Splittail",2,211,""
"824",12263,"Threadfin Shad",2,67,""
"825",13475,"Mississippi Silverside",1,81,""
"826",12462,"Siberian Prawn",2,NA,""
"827",12462,"Mississippi Silverside",7,78,""
"828",12462,"Common Carp",1,520,""
"829",13641,"Chinook Salmon (fall)",2,58,"preserved on ice"
"830",13641,"Striped Bass",1,148,""
"831",13882,"Potamocorbula",1,NA,""
"832",13882,"Striped Bass",2,95,""
"833",13882,"Oriental Shrimp",3,NA,""
"834",12290,"Siberian Prawn",5,NA,""
"835",12290,"Chinook Salmon (fall)",1,41,""
"836",12290,"Black Crappie",1,244,""
"837",12290,"Golden Shiner",1,128,""
"838",12370,"No Catch",0,NA,""
"839",14010,"Mississippi Silverside",3,78,""
"840",12279,"Killifish spp.",1,25,""
"841",12279,"Mosquitofish",1,26,""
"842",12279,"Mississippi Silverside",6,37,""
"843",13999,"Corbicula",1,NA,""
"844",13914,"Mississippi Silverside",6,78,""
"845",12531,"Striped Bass",1,138,""
"846",12531,"Corbicula",5,NA,""
"847",13804,"Mississippi Silverside",77,64,""
"848",13804,"Threadfin Shad",11,93,""
"849",13421,"No Catch",0,NA,""
"850",12264,"Chinook Salmon (fall)",1,37,""
"851",12264,"Splittail",1,315,""
"852",12404,"Siberian Prawn",3,NA,""
"853",12404,"Potamocorbula",1,NA,""
"854",12404,"Sacramento Pikeminnow",1,192,""
"855",12328,"No Catch",0,NA,""
"856",13935,"Threadfin Shad",1,89,""
"857",12291,"Killifish spp.",3,26,""
"858",12291,"Siberian Prawn",57,NA,""
"859",12291,"Shrimp Other",1,NA,""
"860",12291,"Crayfish",1,NA,""
"861",12291,"Grass Shrimp",17,NA,""
"862",12291,"Bluegill",1,34,""
"863",12291,"Hitch",1,186,""
"864",12291,"Largemouth Bass",1,112,""
"865",12291,"Tule Perch",1,129,""
"866",13476,"Mississippi Silverside",1,82,""
"867",13476,"Harris Mud Crab",1,NA,""
"868",12463,"Mississippi Silverside",1,75,""
"869",12463,"Harris Mud Crab",2,NA,""
"870",12371,"No Catch",0,NA,""
"871",14011,"No Catch",0,NA,""
"872",12280,"Chinook Salmon (fall)",1,37,""
"873",12280,"Mosquitofish",1,34,""
"874",12280,"Mississippi Silverside",34,43,""
"875",12280,"Wakasagi",1,81,""
"876",14000,"No Catch",0,NA,""
"877",13913,"Mississippi Silverside",3,91,""
"878",13913,"Striped Bass",1,78,""
"879",13913,"Bay Shrimp",1,NA,""
"880",13913,"Corbicula",2,NA,""
"881",13913,"Splittail",1,118,""
"882",12532,"Mississippi Silverside",7,62,""
"883",12532,"Corbicula",119,NA,""
"884",13805,"Mississippi Silverside",87,62,""
"885",13805,"Striped Bass",1,305,""
"886",13805,"Corbicula",1,NA,""
"887",13805,"Splittail",1,97,""
"888",13422,"Mississippi Silverside",9,64,""
"889",13422,"Starry Flounder",1,43,""
"890",12329,"Siberian Prawn",1,NA,""
"891",12329,"Mississippi Silverside",3,86,""
"892",13936,"Maeotias",2,NA,""
"893",12265,"Siberian Prawn",2,NA,""
"894",12405,"No Catch",0,NA,""
"895",13478,"Killifish spp.",1,30,""
"896",13478,"Prickly Sculpin",3,75,""
"897",13478,"Mississippi Silverside",28,57,""
"898",13478,"Bluegill",1,45,""
"899",13478,"Golden Shiner",1,74,""
"900",12464,"No Catch",0,NA,""
"901",12372,"No Catch",0,NA,""
"902",14012,"Mississippi Silverside",4,73,""
"903",14012,"Splittail",1,115,""
"904",12266,"Siberian Prawn",2,NA,""
"905",12266,"Mississippi Silverside",2,68,""
"906",12266,"Threadfin Shad",1,60,""
"907",12406,"No Catch",0,NA,""
"908",12535,"Corbicula",15,NA,""
"909",12330,"No Catch",0,NA,""
"910",13937,"Mississippi Silverside",101,96,""
"911",12373,"Mississippi Silverside",1,79,""
"912",13806,"Mississippi Silverside",31,63,""
"913",13423,"No Catch",0,NA,""
"914",12267,"Sacramento Pikeminnow",1,466,""
"915",12407,"No Catch",0,NA,""
"916",12331,"Chinook Salmon (fall)",1,40,""
"917",12331,"Tule Perch",1,154,""
"918",13938,"No Catch",0,NA,""
"919",12538,"Chinook Salmon (fall)",1,49,""
"920",12538,"Mississippi Silverside",1,66,""
"921",13807,"No Catch",0,NA,""
"922",13424,"Golden Shiner",1,152,""
"923",12268,"Sacramento Pikeminnow",1,308,""
"924",12408,"No Catch",0,NA,""
"925",13939,"No Catch",0,NA,""
"926",12332,"No Catch",0,NA,""
"927",12536,"No Catch",0,NA,""
"928",13808,"No Catch",0,NA,""
"929",13425,"No Catch",0,NA,""
"930",13681,"Siberian Prawn",1,NA,""
"931",13681,"Striped Bass",1,109,""
"932",13681,"Bay Shrimp",13,NA,""
"933",13681,"Corbicula",1,NA,""
"934",13681,"American Shad",3,100,""
"935",13447,"Corbicula",3,NA,""
"936",13447,"Harris Mud Crab",1,NA,""
"937",13861,"Potamocorbula",6,NA,""
"938",13861,"Striped Bass",27,68,""
"939",13861,"Bay Shrimp",2,NA,""
"940",13861,"American Shad",3,58,""
"941",13861,"Longfin Smelt",1,74,""
"942",13861,"Maeotias",16,NA,""
"943",13861,"Threadfin Shad",89,82,""
"944",13477,"Siberian Prawn",19,NA,""
"945",13477,"Potamocorbula",2,NA,""
"946",13477,"Prickly Sculpin",1,22,""
"947",13477,"Grass Shrimp",2,NA,""
"948",13477,"Striped Bass",1,26,""
"949",13477,"Oriental Shrimp",1,NA,""
"950",13477,"Longfin Smelt",2,26,""
"951",13477,"Starry Flounder",3,58,""
"952",13477,"Yellowfin Goby",24,20,""
"953",13721,"Striped Bass",9,89,""
"954",13721,"Bay Shrimp",14,NA,""
"955",13721,"American Shad",4,73,""
"956",13721,"Longfin Smelt",1,74,""
"957",13721,"Maeotias",36,NA,""
"958",13721,"Starry Flounder",1,70,""
"959",13721,"Threadfin Shad",4,51,""
"960",13721,"Yellowfin Goby",2,73,""
"961",13457,"Striped Bass",1,29,""
"962",13457,"Corbicula",3,NA,""
"963",13457,"Splittail",1,36,""
"964",13781,"Corbicula",1,NA,""
"965",13781,"American Shad",2,78,""
"966",13491,"No Catch",0,NA,""
"967",13682,"Potamocorbula",1,NA,""
"968",13682,"Striped Bass",6,82,""
"969",13682,"Bay Shrimp",19,NA,""
"970",13682,"Corbicula",4,NA,""
"971",13682,"American Shad",3,88,""
"972",13682,"Splittail",1,122,""
"973",13682,"Starry Flounder",1,103,""
"974",13682,"Threadfin Shad",2,59,""
"975",13682,"Tule Perch",1,102,""
"976",13448,"Clupeidae larvae",1,13,""
"977",13448,"Harris Mud Crab",3,NA,""
"978",13460,"Potamocorbula",1,NA,""
"979",13460,"Corbicula",2,NA,""
"980",13862,"Potamocorbula",24,NA,""
"981",13862,"Striped Bass",1,135,""
"982",13862,"American Shad",3,76,""
"983",13862,"Maeotias",122,NA,""
"984",13862,"Threadfin Shad",3,62,""
"985",13479,"Siberian Prawn",18,NA,""
"986",13479,"Potamocorbula",53,NA,""
"987",13479,"Prickly Sculpin",2,31,""
"988",13479,"Striped Bass",15,23,""
"989",13479,"Sacramento Pikeminnow",1,137,""
"990",13479,"Splittail",1,45,""
"991",13479,"Starry Flounder",8,50,""
"992",13479,"Yellowfin Goby",35,30,""
"993",13722,"Siberian Prawn",1,NA,""
"994",13722,"Potamocorbula",1,NA,""
"995",13722,"Striped Bass",2,67,""
"996",13722,"Bay Shrimp",17,NA,""
"997",13722,"Longfin Smelt",3,70,""
"998",13722,"Maeotias",68,NA,""
"999",13722,"Threadfin Shad",5,53,""
"1000",13782,"Corbicula",9,NA,""
"1001",13492,"Corbicula",26,NA,""
"1002",13492,"Shimofuri Goby",1,84,""
"1003",13683,"Bay Shrimp",24,NA,""
"1004",13683,"American Shad",1,88,""
"1005",13450,"No Catch",0,NA,""
"1006",13461,"Prickly Sculpin",7,59,""
"1007",13461,"Striped Bass",3,21,""
"1008",13461,"Corbicula",15,NA,""
"1009",13863,"Siberian Prawn",5,NA,""
"1010",13863,"Potamocorbula",7,NA,""
"1011",13863,"Bay Shrimp",79,NA,""
"1012",13863,"Maeotias",79,NA,""
"1013",13863,"Threadfin Shad",1,95,""
"1014",13723,"Maeotias",28,NA,""
"1015",13783,"No Catch",0,NA,""
"1016",13481,"Siberian Prawn",1,NA,""
"1017",13481,"Sacramento Sucker",4,82,""
"1018",13481,"Prickly Sculpin",2,54,""
"1019",13481,"Striped Bass",18,31,""
"1020",13481,"Splittail",2,258,""
"1021",13481,"Starry Flounder",5,59,""
"1022",13481,"Threespine Stickleback",1,46,""
"1023",13481,"Yellowfin Goby",4,41,""
"1024",13493,"Corbicula",19,NA,""
"1025",13493,"Shimofuri Goby",1,53,""
"1026",13493,"Tule Perch",1,148,""
"1027",13684,"Crayfish",1,NA,""
"1028",13684,"Tule Perch",2,112,""
"1029",13451,"Corbicula",1,NA,""
"1030",13724,"American Shad",1,70,""
"1031",13724,"Maeotias",11,NA,""
"1032",13724,"Shimofuri Goby",1,84,""
"1033",13724,"Splittail",1,84,""
"1034",13724,"Starry Flounder",1,140,""
"1035",13724,"Threadfin Shad",5,83,""
"1036",13463,"Siberian Prawn",18,NA,""
"1037",13463,"Prickly Sculpin",3,26,""
"1038",13463,"Grass Shrimp",3,NA,""
"1039",13463,"Striped Bass",5,24,""
"1040",13463,"Yellowfin Goby",1,38,""
"1041",13494,"Corbicula",13,NA,""
"1042",13864,"American Shad",2,83,""
"1043",13864,"Maeotias",18,NA,""
"1044",13486,"Siberian Prawn",6,NA,""
"1045",13486,"Prickly Sculpin",25,48,""
"1046",13486,"Grass Shrimp",1,NA,""
"1047",13486,"Striped Bass",22,21,""
"1048",13486,"Splittail",2,35,""
"1049",13486,"Starry Flounder",3,63,""
"1050",13486,"Threespine Stickleback",1,54,""
"1051",13486,"Yellowfin Goby",2,26,""
"1052",13784,"No Catch",0,NA,""
"1053",13725,"Siberian Prawn",3,NA,""
"1054",13725,"Prickly Sculpin",2,95,""
"1055",13725,"Oriental Shrimp",4,NA,""
"1056",13725,"Bay Shrimp",3,NA,""
"1057",13725,"Corbicula",4,NA,""
"1058",13725,"Maeotias",28,NA,""
"1059",13495,"Corbicula",51,NA,""
"1060",13495,"Starry Flounder",2,201,""
"1061",13865,"Potamocorbula",1,NA,""
"1062",13865,"Prickly Sculpin",1,105,""
"1063",13865,"Bay Shrimp",3,NA,""
"1064",13865,"Maeotias",26,NA,""
"1065",13865,"Yellowfin Goby",1,136,""
"1066",13488,"Siberian Prawn",14,NA,""
"1067",13488,"Prickly Sculpin",39,33,""
"1068",13488,"Grass Shrimp",1,NA,""
"1069",13488,"Striped Bass",56,24,""
"1070",13488,"Common Carp",1,53,""
"1071",13488,"Splittail",9,42,""
"1072",13488,"Starry Flounder",13,39,""
"1073",13488,"Threespine Stickleback",2,22,""
"1074",13488,"Yellowfin Goby",25,31,""
"1075",13464,"Killifish spp.",11,36,""
"1076",13464,"Crayfish",3,NA,""
"1077",13464,"Prickly Sculpin",1,62,""
"1078",13464,"Tule Perch",3,47,""
"1079",13785,"No Catch",0,NA,""
"1080",13686,"Crayfish",2,NA,""
"1081",13686,"Prickly Sculpin",4,66,""
"1082",13686,"Corbicula",39,NA,""
"1083",13686,"Harris Mud Crab",2,NA,""
"1084",13686,"Shimofuri Goby",2,68,""
"1085",13686,"Tule Perch",1,108,""
"1086",13454,"No Catch",0,NA,""
"1087",13726,"Corbicula",1,NA,""
"1088",13726,"Maeotias",33,NA,""
"1089",13726,"Splittail",1,96,""
"1090",13726,"Threadfin Shad",7,87,""
"1091",13496,"Striped Bass",3,36,""
"1092",13496,"Corbicula",32,NA,""
"1093",13496,"Shimofuri Goby",1,83,""
"1094",13496,"Starry Flounder",1,49,""
"1095",13496,"Tule Perch",2,147,""
"1096",13489,"Striped Bass",5,28,""
"1097",13489,"Corbicula",1,NA,""
"1098",13489,"Splittail",1,59,""
"1099",13866,"Bay Shrimp",2,NA,""
"1100",13866,"American Shad",1,73,""
"1101",13866,"Maeotias",11,NA,""
"1102",13786,"No Catch",0,NA,""
"1103",13687,"Corbicula",1,NA,""
"1104",13455,"Prickly Sculpin",1,60,""
"1105",13455,"Striped Bass",5,23,""
"1106",13455,"Corbicula",1,NA,""
"1107",13455,"Harris Mud Crab",2,NA,""
"1108",13455,"Starry Flounder",1,54,""
"1109",13867,"Striped Bass",1,103,""
"1110",13867,"Oriental Shrimp",2,NA,""
"1111",13867,"Bay Shrimp",8,NA,""
"1112",13867,"Corbicula",1,NA,""
"1113",13867,"Maeotias",1,NA,""
"1114",13867,"Shimofuri Goby",1,77,""
"1115",13490,"Striped Bass",4,21,""
"1116",13490,"Corbicula",10,NA,""
"1117",13490,"Starry Flounder",1,50,""
"1118",13869,"Potamocorbula",1,NA,""
"1119",13869,"Corbicula",7,NA,""
"1120",13869,"Maeotias",82,NA,""
"1121",13869,"Threadfin Shad",1,95,""
"1122",13688,"Prickly Sculpin",2,61,""
"1123",13688,"Shimofuri Goby",3,44,""
"1124",13689,"Threadfin Shad",1,59,""
"1125",13690,"Maeotias",1,NA,""
"1126",13690,"Tule Perch",1,100,""
